task_id,when_ready,when_running,when_waiting_retrieval,when_retrieved,when_done,worker_committed,worker_slot,time_commit_start,time_commit_end,time_input_mgr,size_input_mgr,time_worker_start,time_worker_end,time_output_mgr,size_output_mgr,when_input_sent,when_output_received,cores_requested,gpus_requested,memory_requested(MB),disk_requested(MB),retrieved_status,done_status,done_code,category
46,1716494676.687283,1716497244.669555,1716497250.113832,1716497251.022195,1716497251.02225,worker-cb7c6c4c5130033fdb68942b826bc325,23,1716497244.668797,1716497244.669528,0.000731,4.291534423828125e-05,1716497244.669625,1716497249.830174,0.001124,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
47,1716494676.688173,1716497273.708694,1716497282.276366,1716497282.280759,1716497282.280828,worker-cb7c6c4c5130033fdb68942b826bc325,56,1716497273.707717,1716497273.70865,0.000933,4.291534423828125e-05,1716497273.708722,1716497282.275414,0.001695,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
48,1716494676.689062,1716497898.188387,1716497906.13513,1716497906.190791,1716497906.190866,worker-cb7c6c4c5130033fdb68942b826bc325,11,1716497898.18785,1716497898.18836,0.00051,4.291534423828125e-05,1716497898.188441,1716497906.134215,0.005305,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
49,1716494676.690021,1716494738.079217,1716494744.056966,1716494744.059192,1716494744.059268,worker-cb7c6c4c5130033fdb68942b826bc325,8,1716494738.07868,1716494738.07919,0.00051,4.291534423828125e-05,1716494738.079341,1716494744.056229,0.001256,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
50,1716494676.690906,1716497958.728416,1716497966.567398,1716497966.574179,1716497966.574237,worker-cb7c6c4c5130033fdb68942b826bc325,45,1716497958.727935,1716497958.72839,0.000455,4.291534423828125e-05,1716497958.729623,1716497966.566744,0.001387,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
51,1716494676.691822,1716497956.417101,1716497964.166103,1716497964.186066,1716497964.18613,worker-cb7c6c4c5130033fdb68942b826bc325,11,1716497956.416585,1716497956.417075,0.00049,4.291534423828125e-05,1716497956.41716,1716497964.141381,0.002434,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
52,1716494676.693179,1716497874.465817,1716497882.619404,1716497882.634566,1716497882.634626,worker-cb7c6c4c5130033fdb68942b826bc325,6,1716497874.465342,1716497874.465791,0.000449,4.291534423828125e-05,1716497874.465876,1716497882.618596,0.008827,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
53,1716494676.69404,1716498115.684948,1716498126.189688,1716498126.193785,1716498126.193831,worker-cb7c6c4c5130033fdb68942b826bc325,38,1716498115.684417,1716498115.684919,0.000502,4.291534423828125e-05,1716498115.684985,1716498126.187722,0.001313,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
54,1716494676.69498,1716498042.978452,1716498049.381188,1716498051.840471,1716498051.840518,worker-cb7c6c4c5130033fdb68942b826bc325,64,1716498042.977936,1716498042.978425,0.000489,4.291534423828125e-05,1716498042.978522,1716498048.743665,0.001313,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
55,1716494676.695908,1716498106.360478,1716498114.132848,1716498114.140045,1716498114.140095,worker-cb7c6c4c5130033fdb68942b826bc325,32,1716498106.359957,1716498106.360449,0.000492,4.291534423828125e-05,1716498106.360524,1716498114.132081,0.00163,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
56,1716494676.696917,1716497973.870878,1716497982.346337,1716497982.354426,1716497982.354478,worker-cb7c6c4c5130033fdb68942b826bc325,40,1716497973.870373,1716497973.870849,0.000476,4.291534423828125e-05,1716497973.870909,1716497982.346034,0.00284,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
57,1716494676.697979,1716497908.143915,1716497916.659289,1716497916.683779,1716497916.683841,worker-cb7c6c4c5130033fdb68942b826bc325,6,1716497908.143412,1716497908.143889,0.000477,4.291534423828125e-05,1716497908.143976,1716497916.658537,0.003297,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
58,1716494676.699279,1716497271.225871,1716497279.577645,1716497279.583127,1716497279.583198,worker-cb7c6c4c5130033fdb68942b826bc325,34,1716497271.225477,1716497271.225842,0.000365,4.291534423828125e-05,1716497271.227198,1716497279.576747,0.001909,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
59,1716494676.70038,1716497844.665512,1716497855.654327,1716497855.659359,1716497855.659423,worker-cb7c6c4c5130033fdb68942b826bc325,38,1716497844.665009,1716497844.665483,0.000474,4.291534423828125e-05,1716497844.666122,1716497855.653667,0.001241,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
60,1716494676.702151,1716497973.896911,1716497982.341915,1716497982.345853,1716497982.345907,worker-cb7c6c4c5130033fdb68942b826bc325,34,1716497973.896412,1716497973.896885,0.000473,4.291534423828125e-05,1716497973.896972,1716497982.33658,0.001277,0.0001077651977539062,,,0,0,0,0,RETRIEVED,SUCCESS,0,default
