hostname,Condor_Version,Condor_Build_ID,cpu_frequency,cpu_model,CpuCacheSize,DetectedCpus,DetectedMemory,Disk,eth_link_speed,glibc_version,has_afs,has_avx,has_scratch365,has_singularity,has_sse4_1,has_sse4_2,has_ssse3,has_vast,HasFileTransfer,HasJICLocalConfig,HasJobDeferral,HasMPI,HasTDP,HasTransferInputRemaps,HasVM,JavaMFlops,JobPreemptions,JobRankPreemptions,KFlops,Mips,OpSysLongName,has_avx2
qa-v100-003.crc.nd.edu,8.8.14,550418,2.70GHz,Intel(R) Xeon(R) Gold 6226 CPU,19712,24,192572,415885868,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1962.38269,0,0,1860421,30677,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas281.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1826020420,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1863.217041,0,0,1720144,26614,Red Hat Enterprise Linux release 8.9 (Ootpa),true
disc-store-001.crc.nd.edu,10.6.0,658549,unknown,,512,64,256888,453503888,40000Mb/s,glibc-2.34-83.el9_3.12.x86_64,true,true,false,true,true,true,true,,"https,dav,davs,http,data,ftp,file,s3,gs",true,true,true,true,true,false,,0,0,5748204,32130,Red Hat Enterprise Linux release 9.3 (Plow),true
d32cepyc098.crc.nd.edu,8.8.14,550418,unknown,,512,64,256875,898977788,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,3018.859131,0,0,5439400,30699,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas331.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1338657328,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1876.214966,0,0,1726211,26188,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy142.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,451047088,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1743.310303,1,0,1657445,24904,Red Hat Enterprise Linux release 8.9 (Ootpa),
qa-p100-002.crc.nd.edu,8.8.14,550418,2.20GHz,Intel(R) Xeon(R) CPU E5-2650 v4,30720,24,128260,909025862,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1779.261841,0,0,1713474,23734,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d32cepyc201.crc.nd.edu,8.8.14,550418,unknown,,512,64,256875,897686468,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,3076.998779,0,0,5023869,30594,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas025.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,71235,944713424,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1879.955078,0,0,1724418,26340,Red Hat Enterprise Linux release 8.9 (Ootpa),true
qa-rtx6k-047.crc.nd.edu,8.8.14,550418,2.70GHz,Intel(R) Xeon(R) Gold 6226 CPU,19712,24,192572,406453088,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1970.908569,0,0,1836785,29920,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas077.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,63427,939392724,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1876.436646,0,0,1705121,26103,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas328.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1335235701,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1836.51355,0,0,1705181,26367,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy094.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,447029844,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1748.260986,1,0,1665425,25184,Red Hat Enterprise Linux release 8.9 (Ootpa),
